Country,ISO,Domain,Theme,Yes? (Metrics),Metrics,Total number of metrics,Priorities
France,FRA,Supply,Size and value of illegal drug market,Yes,"number of proceedings {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.19} ~ Total percent of drug-related offences, and drug-related offences broken down into: illegal use, possession, acquisition, commerce-transport, import-export, dealing and selling, aiding and abetting {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.22} ~ number of proceedings for simple use {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.23} ~ the number of proceedings related to drug trafficking {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.24} ~ Percent of drug-related offenses broken down as follows: illegal use, possession, acquisition, commerce-transport, import-export, dealing and selling, aiding and abetting {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.158} ~ ",5,"By conducting an assessment, within the framework of a health-criminal justice assignment, of the content of sanctions ordered in cases connected with the use of alcohol and/or narcotics {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.67} ~ By conducting an overall assessment of the legal procedures applied to narcotics users {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.67} ~ By promoting the dissemination of best investigation practices (legal and operational) among local investigation services, in particular with regard to the investigation of assets {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.50} ~ By identifying new routes used by traffickers via secondary roads {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.50} ~Taking into account changes in money laundering media {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.53} ~ By continuing detection of networks engaged in the diversion of chemical precursors {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.57} ~ By greater targeting of certain means of narcotics transport, such as maritime containers, as well as new channels, notably the sale of drugs via the Internet and light aircraft {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.89} ~ By exercising special surveillance on channels of access to cannabis cultivation (specialist shops, websites, postal and express freight) {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.55} ~ Enhance video protection and control on main and secondary roads {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.20} ~ Increase surveillance of the use of the Internet as a medium, and the fight against the supply of illicit products online {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.20} ~ Improve the operational capacities of customs for the detection of funds derived from drug trafficking {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.21} ~ Strengthen the legal framework for capturing the criminal assets of convicted traffickers... {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.22} ~ Strengthen the powers of investigative services in the field of veterinary drug trafficking {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.26} ~ Support research on drug trafficking in penitentiaries {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.21} "
France,FRA,Supply,Crop eradication,No,No,0,"By widely disseminating the data collected by the authorities on this emerging phenomenon, in order to clear up generally accepted ideas about the “organic” virtues of cannabis cultivated in this way and recall the illegal character of this activity, as well as the dangers for health that it presents {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.55} ~ By offsetting the generally propagated image of cannabis cultivation as a convivial craft industry by provision of information to the public on the existence of real “cannabis factories”, in the hands of transnational criminal groups, of which a number have recently been broken up on national territory {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.55} ~ Stepping Up the Fight Against Cannabis Cultivation {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.55}  ~ Reduce the spread of cannabiculture {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.30} ~ To sensitize the police and gendarmerie to detect the signs of the presence of a cannabis plantation {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.22} ~"
France,FRA,Supply,"Number of arrests, seizures and offences",Yes,"Increase in the number of checks and seizures {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.27} ~ number of arrests {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.19} ~ Percent of prison sentences without remission, or partial sentence suspension {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.22} ~ Percentage of seizures and checks classified by type of drug (See figures on,p.156 & p.160) {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.156 & p.160} ~ number of arrests for drug-related offenses {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.158} ~ Percent of prison sentences without remission or partial sentence suspension related to convictions for drug-related offences {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.158} ~ Quantity of drugs seized in kg (See table on page 161) {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.161} ~",5,No
France,FRA,Supply,Law enforcement activity/interdiction in the market,No,No,0,"Reinforcing Public Security, Order and Health by Fighting against Trafficking and all Forms of Crime Linked to the Use of Psychoactive Products {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.15} ~ By conducting experiments concerning the possibility of taking saliva samples instead of blood samples for the purposes of authentication of narcotics use. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.68} ~ By continuing the development of specific investigation techniques which require increasing specialisation of staff dedicated to breaking up transnational criminal groups {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.50} ~ By widening the field of offences for which infiltration of electronic communication networks is authorized {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.48} ~ By reinforcing collaboration with Internet access providers, managers of search engines and web hosting services. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.48} ~ By consolidating the coordination of operations between the various State services against drug trafficking and the black economy {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.49} ~ Providing a Specific Response to Narcotics Trafficking in Small and Medium-Sized Towns as well as in the Rural Environment {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.49} ~ By making changes to the disclosure requirements system, in particular in order for it to no longer be solely focused on travellers {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.53} ~ Consolidating the Fight Against the Laundering of Money Acquired by Trafficking {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.53} ~ By perfecting innovative chemical precursor detection tests for use by the services concerned {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.57} ~ By continuing to adapt the training of actors in the criminal justice system to changes in trafficking and, in particular, to combating the supply of drugs via the Internet and the practice of seizing and confiscating criminal assets, as well as the detection of chemical precursor diversion networks. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.80} ~ By consolidating the police, customs and, in particular, legal capacities of countries of production and transit {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.89} ~ By consolidating the fight against diversion of chemical precursors and new psychoactive products {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.89} ~ Strengthen capacities for control of terrestrial, air and maritime vectors {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.27} ~ Implementing the detection and apprehension of persons fraudulently infiltrated into storage areas {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.28} ~ Increase the surveillance of Internet use that serves as a medium, to fight against the supply of illicit products online {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.28} ~ Improve the effectiveness of the fight against drug trafficking and the incitation of minors to the use and trafficking of narcotic drugs on the Internet {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.28} ~ Improve the fight against the trafficking of prescription medications {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.36} ~ Decrease the trafficking of prescription medications and psychoactive substances {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.36} ~ Pursue the effort to dismantle traffic networks {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.21} ~ Reducing the [...] trafficking of illegal substances for incarcerated persons {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.9} ~"
France,FRA,Supply,"Price, Purity, and Potency",Yes,"Qualitative monitoring via the TREND scheme (OFDT) in 7 cities which track the availability and prices of OSM on the black market together with patterns of use {National Report (2014 data) to the EMCDDA by the Reitox National Focal Point, 2015, p.103} ~ ",1,"By reinforcing the analysis of new synthetic drugs and the dissemination of information on their composition {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.40} ~ By improving identification of new synthetic drugs through continuous adaptation of technical means {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.56} ~ By conducting an assessment, within the framework of a health-criminal justice assignment, of the content of sanctions ordered in cases connected with the use of alcohol and/or narcotics {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.67} "
France,FRA,Supply,Proportion of population engaged with the criminal justice system ,No,No,0,"Strengthen preventive measures for those in the hands of the justice system {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.8} ~ Reduce the use of addictive substances for people in the hands of the justice system {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.9} ~  Fight against trafficking that involves minors  {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.21} ~ "
France,FRA,Supply,Other/too general goals/metrics,No,No,0,"By developing research and use of operational intelligence narcotics {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.49} ~ By optimising use of information collected upstream from the supply of drugs in sensitive districts narcotics {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.49} ~ By tightening the bonds of trust between citizens facing the consequences of narcotics trafficking and the State’s actors in the territories, in close collaboration with elected representatives narcotics {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.49} ~ By providing the investigation services with innovative means of detection, drawing inspiration from the experience of countries that have recognised expertise in this area narcotics {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.56} ~  Train and raise awareness for customs agents, relating to the fight against money laundering related to drug trafficking {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.21} ~ Better secure the chain of prescription and delivery {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.26} ~ Develop and publish documentary resources and tools to assist the investigation into the fight against the use, trafficking and money laundering {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.32} ~ Strengthen the bonds of trust between the citizens confronted with drug trafficking and state actors {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.20} ~ By encouraging collection and processing of information concerning doping products through the development of partnerships with the pharmaceutical industry narcotics {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.69} ~"
France,FRA,International Cooperation,Engagement in international cooperation,No,No,0,"By promoting international cooperation in order to identify potential threats {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.47} ~ Continuing the Effort to Break Up Major Trafficking Organizations Possessing International Networks {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.50} ~ By continuing the development of specific investigation techniques which require increasing specialisation of staff dedicated to breaking up transnational criminal groups, at both the national and international levels {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.50} ~ By stepping up the implementation of joint investigation teams and European teams for the investigation of assets, in liaison with EUROJUST and EUROPOL. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.50} ~ Reinforcing the Fight Against Inter-Island Trafficking in the West Indies: By mobilising means of detection and interception of the routes used by traffickers that are adapted to the specific characteristics of the geographical area (radars, aerial, maritime and terrestrial means) and increased gathering of intelligence. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.59} ~ Stepping Up the Fight against Local Trafficking in French Overseas Departments and Territories as a Whole: By consolidating the initiatives against local production of cannabis and pharmaceuticals trafficking {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.59} ~ By increasing the professional training offered by the CIFAD, which contributes to dissemination of the French administration’s know-how concerning the fight against narcotics trafficking among the States of the Caribbean arc and Latin America {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.60} ~ By promoting the inclusion of the question of the fight against drugs in agreements, and partnership agreements in particular, that the European Union may enter into with third world countries, while stressing the need for adequate mobilisation of financial resources for the effective implementation thereof. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.88} ~ By promoting the creation of national monitoring bodies in certain regions, enabling policy-makers to gain an overview of the situation and developments with regard to both drug use and trafficking. France will encourage the creation of such monitoring bodies on the basis of the model that it upholds within the framework of its Presidency of the Pompidou Group of the Council of Europe {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.89} ~ By focusing our action upon West Africa, Afghanistan and neighbouring countries, Latin America, the Caribbean and the Balkans in priority. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.88} ~ By developing increased cooperation and sharing of experiences with the countries of the southern shore of the Mediterranean, because of the profound changes sweeping the region. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.88} ~ By promoting a concerted approach to law enforcement, based upon intelligence and targeted assessment of threats, as well as the development of inter- national exchange of information and pooling of resources with our principal partners. Use of dedicated teams will be developed. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.89} ~ By promoting exchange of operational information between trusted partners, and European partners in particular, enabling optimisation in the deployment and coordination of maritime, air and terrestrial means of surveillance and intervention. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.89} ~ By encouraging our partners to systematically identify, seize and confiscate drug traffickers' assets {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.90} ~ By encouraging our partners to use the proceeds from the seizure and confiscation of criminal assets generated by drug trafficking {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.90} ~ By promoting sustainable alternative development policies in drug producing countries. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.90} ~ By promoting access to treatment, including harm-reduction measures, for drug addicts as a human right 1, both at the bilateral level and in international forums. {Government Plan for Combatting Drugs and Addictive Behavior, 2013-2017, p.91} ~ Strengthen the fight against inter-island traffic in the West Indies {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.31} ~ Increase responsiveness to cross-border inter-islands illicit trafficking in order to identify targets {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.31} ~ Improve knowledge of consumption in overseas territories {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.25} ~ Improve the collection of data in overseas countries, in order to gain better knowledge of the diversion of prescription medications phenomenon {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2013-2015, p.25} ~ Improve knowledge of the consumption of psychoactive substances in the French overseas departments (DOM), particularly in Mayotte {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.17} ~ Organize regional seminars to promote exchanges between the various actors involved in the fight against drug trafficking in Latin America and the Caribbean {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.17} ~ Strengthen the action of the Interministerial Center for Drug Training (CIFAD) in Fort-de-France to the neighboring States of the French Departments of the Americas: Strengthen cooperation on training in the fight against trafficking and in particular maritime trafficking {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.18} ~ Strengthen international cooperation and sharing of intelligence {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.19} ~ Regularly analyze the state of threat, under the supervision of the Central Office for the Suppression of Illicit Traffic in Narcotic Drugs (OCRTIS), and update a map of the new national and international traffic routes {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.19} ~ Support the priority axes of France in European and international organizations (European Union, Pompidou Group of the Council of Europe, Dublin Group, United Nations Office on Drugs and Crime (UNODC) {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.35} ~ Maintain France's international commitment to the fight against drugs and addictive behavior {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.35} ~ Promote the establishment of national drug observatories, in liaison with international and regional organizations (European Monitoring Center for Drugs and Drug Addiction (EMCDDA), Pompidou Group of the Council of Europe, UNODC) by providing training and tools to Countries {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.35} ~ Prioritizing French action in West Africa, Afghanistan and neighboring countries, Latin America and the Caribbean, and in the southern Mediterranean countries {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.36} ~ Support the implementation of technical assistance programs (implemented by UNODC, the World Customs Organization (WCO), Interpol, Europol, the Council of Europe) in Afghanistan and neighboring countries, West Africa, Latin America and the Caribbean, as well as with the countries on the southern shore of the Mediterranean {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.36} ~ promote the identification, seizure and confiscation of assets at the international level {Plan gouvernemental de lutte contre les drogues et les conduites addictives. Plan d'actions 2016-2017, p.37} ~ "
Belgium,BEL,Health,Level of availability of harm reduction services/harm reduction scale up ,Yes,"""Drugs, taking less risks” is a harm reduction information project at festive places which is set up by peers as well as professionals coming from the psychological, medical and social sector: Total number of interventions {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.49} ~",1,"Provide assistance, risk reduction and reinsertion for problematic consumers { Note politique du Gouvernement fédéral relative à la problématique de la drogue, 2001, p.7} ~ It also concerns drug addicts to whom the necessary assistance must be given in order to enable them to live a life in accordance with human dignity in spite of drugs (by encouraging risk reduction policy). {Note politique du Gouvernement fédéral relative à la problématique de la drogue, 2001, p.9} ~ Risk reduction programs should seek to provide the accessibility of information, accessibility of sterile injecting equipment, relay to care and support structures, peer prevention, training {Une politique globale et intégrée en matière de drogues pour la Belgique, 2010, p.51} ~ Risk reduction initiatives should be stimulated. The development of this program is based on the principle that marginalized drug addicts with little or no contact with the assistance sector show increased risk behavior. Risk reduction services are not limited to substitution treatment. These include medical and psychological support as well as social reintegration, particularly through employment {Une politique globale et intégrée en matière de drogues pour la Belgique, 2010, p.8} ~ In terms of content, the following forms of assistance are foreseen to be put in place: Outpatient treatment in residential settings: drug-free treatment, withdrawal treatment, substitution treatment, risk reduction, reinstatement and aftercare. Treatments should be considered in a holistic manner, taking into account other factors other than drug problem itself. For example, at the individual level, the multiple problems (dual diagnosis, ...) should be considered, as well as the problems that affect other areas of life: for example, employment, housing, penal rehabilitation, psychosocial problems {Une politique globale et intégrée en matière de drogues pour la Belgique, 2010, p.70} ~ Harm reduction interventions need to put in place, in festive venues both among participants and tenants of entertainment venues, as well as testing in festive environments and participation in the Early Warning System / Early Warning System {Une politique globale et intégrée en matière de drogues pour la Belgique, 2010, p.51} ~"
Belgium,BEL,Health,Syringes distributed,Yes,"Total number of syringes distributed and recuperation rate (%) by NEP {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.99} ~ Total number of syringes, sterile spoons, plastic flasks of water, and alcohol pads distributed by: Stérifix” project {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.99} ~ Number of syringes distributed and recuperated in the Flemish (FL) and French Community (FR) by needle exchange programmes and by pharmacists between 1994 and 2013 (see figure 7.1) {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.100} ~ Recuperation rate of the syringes distributed by Needle Exchange Programmes (NEP) in the Flemish and French Community between 1997 and 2013 (see figure 7.2) {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.101} ~ The location of where IDUs receive information about syringe exchange programmes mostly through low threshold drug treatment (%) and through acquaintances (%) {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.101} ~ Proportion of new clients reached via NEP {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.102}~ Injecting drug users in contact with needles exchange programmes in the Flemish Community {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p. 60} ~ Proportion of participants indicated to know at least one injecting drug user not in contact with the syringe exchange programmes. {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.61} ~ Proportion of Responses to the Injecting Risk Questionnaire (IRQ) within the needle exchange programmes in the Flemish region in 2013 (see table 6.3) {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.85} ~",9,"The exchange of syringes must go hand in hand with the communication of information on the correct use of the equipment, the existence and indications of the serological tests and the offer of psychological, social, medical and legal assistance {Note politique du Gouvernement fédéral relative à la problématique de la drogue, 2001, p.56} ~ Risk reduction programs should seek to provide the accessibility of information, accessibility of sterile injecting equipment, relay to care and support structures, peer prevention, training {Une politique globale et intégrée en matière de drogues pour la Belgique, 2010, p.51} ~ Strategies to minimize harm: prevention of other diseases and risks to health through contact with problematic users via substitution, needle exchange, care provision (Bed, Bad, Brood - LitDouche-Food), Early warning ... {Une politique globale et intégrée en matière de drogues pour la Belgique, 2010, p.46} ~ "
Belgium,BEL,Health,Level of access to substitution treatment (OST/MAT),Yes,"Substitution treatments: decreased use of other opiates, an increase in social productivity, a decrease in risk behavior, improved physical and mental health and decreased mortality {Note politique du Gouvernement fédéral relative à la problématique de la drogue, 2001, p.55} ~ Substitution Treatment: In order to get an idea of opiate substitution treatment use in Belgium, it is possible to observe among the population of patients with problematic use of heroin (as main substance or not), what proportion of people has already undergone substitution therapy (methadone, buprenorphine or other opiates). {L’enregistrement TDI en Belgique Rapport annuel, 2015, p.86} ~ Proportion of problematic heroin users who have already undergone substitution therapy, classified by geographical area and type of center {L’enregistrement TDI en Belgique Rapport annuel, 2015, p.87} ~ Proportion of problematic heroin users who have already undergone substitution treatment classified by program type {L’enregistrement TDI en Belgique Rapport annuel, 2015, p.88} ~ Proportion of problematic heroin users who have already undergone substitution treatment, classified by sex {L’enregistrement TDI en Belgique Rapport annuel, 2015, p.88} ~ Proportion of problematic heroin users who have already received substitution treatment, classified by age group {L’enregistrement TDI en Belgique Rapport annuel, 2015, p.89} ~ Proportion of problematic heroin users who have already undergone substitution treatment by main drug {L’enregistrement TDI en Belgique Rapport annuel, 2015, p.89} ~ Characteristics of patients receiving methadone or buprenorphine in 2013 by type of substance: Total amount (N), % women, Mean age, Region (%): Flemish, Brussels-capital, Walloon (see table 5.6) {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.72} ~ Trends in number of clients receiving methadone or buprenorphine between 2009 and 2013 (see figure 5.4) {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.76} ~",8,"In terms of content, the following forms of assistance are foreseen to be put in place: Outpatient treatment in residential settings: drug-free treatment, withdrawal treatment, substitution treatment, risk reduction, reinstatement and aftercare. Treatments should be considered in a holistic manner, taking into account other factors other than drug problem itself. For example, at the individual level, the multiple problems (dual diagnosis, ...) should be considered, as well as the problems that affect other areas of life: for example, employment, housing, penal rehabilitation, psychosocial problems {Une politique globale et intégrée en matière de drogues pour la Belgique, 2010, p.70} ~ "
Belgium,BEL,Health,Prevalence of substance use disorders,Yes,"Decrease the number of drug-dependent citizens {Note politique du Gouvernement fédéral relative à la problématique de la drogue, 2001, p.7} ~ ",1,"Preventing early addiction [...] , delay or control consumption and reduce substance abuse {Note politique du Gouvernement fédéral relative à la problématique de la drogue, 2001, p.11} ~ reduce drug use, and drug addiction {Une politique globale et intégrée en matière de drogues pour la Belgique, 2010, p.18} ~"
Belgium,BEL,Health,Prevalence of psychiatric comorbidities,Yes,"The objectives in assisting dual diagnosis groups (comorbid diagnosis) are to improve the general level of functioning, reduce drug use and related problems, stabilize psychiatric disorders, reduce harm, and resocialization (housing, work and daily occupation). {Note politique du Gouvernement fédéral relative à la problématique de la drogue, 2001, p.52} ~ Prevalence of psychiatric comorbidity of clients entering treatment in the Flemish Community (De Sleutel) between 2006 and 2013 (see table 6.6) {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.89} ~",2,"It is necessary to provide care pathways for specific target groups (such as patients with dual diagnosis) {Note politique du Gouvernement fédéral relative à la problématique de la drogue, 2001, p.48} ~ The objectives in assisting dual diagnosis groups (comorbid diagnosis) are to improve the general level of functioning, reduce drug use and related problems, stabilize psychiatric disorders, reduce harm, and resocialization (housing, work and daily occupation). {Note politique du Gouvernement fédéral relative à la problématique de la drogue, 2001, p.52} ~ It is necessary to provide care pathways for specific target groups (such as patients with dual diagnosis) {Note politique du Gouvernement fédéral relative à la problématique de la drogue, 2001, p.48} ~ In terms of content, the following forms of assistance are foreseen to be put in place: Outpatient treatment in residential settings: drug-free treatment, withdrawal treatment, substitution treatment, risk reduction, reinstatement and aftercare. Treatments should be considered in a holistic manner, taking into account other factors other than drug problem itself. For example, at the individual level, the multiple problems (dual diagnosis, ...) should be considered, as well as the problems that affect other areas of life: for example, employment, housing, penal rehabilitation, psychosocial problems {Une politique globale et intégrée en matière de drogues pour la Belgique, 2010, p.70} ~ "
Belgium,BEL,Health,Prevalence of drug-related mortality,Yes,"The Belgian Observatory for Drugs and Drug Addiction will be responsible for the implementation of European standardized indicators (from the European Monitoring Center for Drugs and Drug Addiction). For 2000, these include: drug use in the general population, prevalence of problem drug use, need for care, mortality and infectious morbidity. {Note politique du Gouvernement fédéral relative à la problématique de la drogue, 2001, p.38} ~ Drug-related deaths in the general population and problematic consumers {Une politique globale et intégrée en matière de drogues pour la Belgique, 2010, p.75} ~ Problem drug use, drug-related infectious diseases, drug use among the general population, drug-related mortality and demand for treatment. Concrete examples are the development of a Treatment Demand Indicator system, in collaboration with treatment centers specializing in addictions, a study on infectious diseases among drug users in Treatment centers and prisons and a study on infectious diseases and the use of centers for heroin users {Une politique globale et intégrée en matière de drogues pour la Belgique, 2010, p.18} ~ The goal was to reduce the number of deaths by 30 days to a maximum of 750 by 2010 {Une politique globale et intégrée en matière de drogues pour la Belgique, 2010, p.33} ~ In 2010, the goal is to reduce the number of drug related deaths to 48 at most {Une politique globale et intégrée en matière de drogues pour la Belgique, 2010, p.33} ~ Drug-related deaths in the general population {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.9} ~ Number of deaths per region: Brussels, Flemish, Walloon {p.90}~ Number of drug-induced deaths (15-64yrs) based on the General Mortality Register (Selection B) between 2004 and 2011 (see table 6.7) {Belgian National Report on drugs 2014 New Developments and Trends, 2014, p.91} ~",7,No
